(house, casa)
(home, hogar)
(dog, perro)
(cat, gato)
(bird, pajaro)
(fish, pez)
(cow, vaca)
(horse, caballo)
(pig, cerdo)
(sheep, oveja)
(goat, cabra)

(man, hombre)
(woman, mujer)
(child, niño)
(children, niños)
(boy, niño)
(girl, niña)
(person, persona)
(people, personas)
(friend, amigo)
(family, familia)

(city, ciudad)
(town, pueblo)
(country, pais)
(street, calle)
(road, camino)
(place, lugar)
(world, mundo)

(day, dia)
(night, noche)
(morning, mañana)
(evening, tarde)
(time, tiempo)
(year, año)
(month, mes)
(week, semana)
(today, hoy)
(tomorrow, mañana)

(sun, sol)
(moon, luna)
(star, estrella)
(sky, cielo)
(water, agua)
(fire, fuego)
(earth, tierra)
(air, aire)

(food, comida)
(bread, pan)
(rice, arroz)
(meat, carne)
(chicken, pollo)
(fish, pescado)
(milk, leche)
(cheese, queso)
(egg, huevo)
(coffee, cafe)
(tea, te)
(sugar, azucar)
(salt, sal)

(school, escuela)
(student, estudiante)
(teacher, maestro)
(book, libro)
(notebook, cuaderno)
(pen, lapiz)
(pencil, lapiz)
(table, mesa)
(chair, silla)
(room, cuarto)
(door, puerta)
(window, ventana)

(car, carro)
(bus, autobus)
(train, tren)
(bike, bicicleta)
(plane, avion)
(ship, barco)

(tree, arbol)
(flower, flor)
(grass, cesped)
(forest, bosque)
(river, rio)
(sea, mar)
(mountain, montaña)

(big, grande)
(small, pequeño)
(long, largo)
(short, corto)
(new, nuevo)
(old, viejo)
(good, bueno)
(bad, malo)
(happy, feliz)
(sad, triste)
(angry, enojado)
(fast, rapido)
(slow, lento)
(beautiful, hermoso)
(ugly, feo)

(red, rojo)
(blue, azul)
(green, verde)
(yellow, amarillo)
(black, negro)
(white, blanco)
(brown, marron)
(gray, gris)

(one, uno)
(two, dos)
(three, tres)
(four, cuatro)
(five, cinco)
(six, seis)
(seven, siete)
(eight, ocho)
(nine, nueve)
(ten, diez)

(i, yo)
(you, tu)
(he, el)
(she, ella)
(it, eso)
(we, nosotros)
(they, ellos)
(me, me)
(him, lo)
(her, la)
(us, nos)
(them, los)

(my, mi)
(your, tu)
(his, su)
(her, su)
(our, nuestro)
(their, su)

(the, el)
(a, un)
(an, un)
(and, y)
(or, o)
(but, pero)
(because, porque)
(of, de)
(in, en)
(on, en)
(at, en)
(to, a)
(for, para)
(with, con)
(about, sobre)
(from, de)

(be, ser)
(is, es)
(are, son)
(was, fue)
(were, fueron)
(have, tener)
(has, tiene)
(had, tenia)
(do, hacer)
(make, hacer)
(go, ir)
(come, venir)
(see, ver)
(say, decir)
(get, obtener)
(give, dar)
(take, tomar)
(find, encontrar)
(know, saber)
(think, pensar)
(want, querer)
(need, necesitar)
(use, usar)
(work, trabajar)
(call, llamar)
(try, intentar)
(ask, preguntar)
(feel, sentir)
(leave, dejar)
(put, poner)
(keep, mantener)
(let, dejar)
(begin, empezar)
(seem, parecer)
(help, ayudar)
(talk, hablar)
(turn, girar)
(start, comenzar)
(show, mostrar)
(play, jugar)
(run, correr)
(move, mover)
(live, vivir)
(believe, creer)
(bring, traer)
(write, escribir)
(read, leer)
(sit, sentarse)
(stand, pararse)
(lose, perder)
(pay, pagar)
(meet, conocer)
(include, incluir)
(continue, continuar)
(set, establecer)
(learn, aprender)
(change, cambiar)
(lead, liderar)
(understand, entender)
(watch, mirar)
(follow, seguir)
(stop, parar)
(create, crear)
(speak, hablar)
(add, agregar)
(spend, gastar)
(grow, crecer)
(open, abrir)
(walk, caminar)
(win, ganar)
(offer, ofrecer)
(remember, recordar)

(hello, hola)
(hi, hola)
(goodbye, adios)
(bye, adios)
(please, porfavor)
(thank, gracias)
(sorry, perdon)
(yes, si)
(no, no)
(ok, ok)
